page_id,page_name,total_ads,unique_ads,percent_unique,avg_words,avg_spend,per_ad_avg_spend,total_avg_impressions,per_ad_avg_impression,avg_ad_min_audience,avg_ad_runtime,avg_female_13_17,avg_female_18_24,avg_female_25_34,avg_female_35_44,avg_female_45_54,avg_female_55_64,avg_female_65_plus,avg_male_13_17,avg_male_18_24,avg_male_25_34,avg_male_35_44,avg_male_45_54,avg_male_55_64,avg_male_65_plus,avg_13_17,avg_18_24,avg_25_34,avg_35_44,avg_45_54,avg_55_64,avg_65_plus,avg_female,avg_male,avg_pha,avg_stc,avg_jhc,avg_plk,avg_kvk,avg_ulk,avg_lbk,avg_hkk,avg_pak,avg_vys,avg_jhm,avg_olk,avg_msk,avg_zlk
118636354851151,ODS Pardubice - oblastní sdružení,6,5,0.833,18,15047,2508,105997,17666,6851,2,0,0.048,0.097,0.106,0.1,0.068,0.059,0,0.062,0.149,0.124,0.09,0.051,0.042,0,0.11,0.246,0.23,0.191,0.119,0.101,0.479,0.517,0.008,0.004,0.001,0.001,0,0.002,0.003,0.005,0.964,0.002,0.003,0.002,0.002,0
118714278179442,TOP 09 Nymburk,36,31,0.861,188,18482,513,129982,3611,44557,5.1,0,0.05,0.086,0.108,0.105,0.074,0.071,0,0.069,0.118,0.102,0.109,0.057,0.046,0,0.12,0.204,0.211,0.214,0.131,0.117,0.494,0.502,0.001,0.997,0,0,0,0,0,0.002,0,0,0,0,0,0
120343698070515,Liberální institut,12,4,0.333,71,142294,11858,1765494,147124,1000001,15.4,0,0.078,0.079,0.033,0.058,0.086,0.111,0,0.064,0.115,0.089,0.112,0.091,0.08,0,0.142,0.194,0.122,0.17,0.177,0.191,0.446,0.55,0.136,0.1,0.052,0.056,0.03,0.092,0.042,0.05,0.046,0.041,0.122,0.057,0.116,0.051
120437461339909,Srdcem Pro Šumperk,38,35,0.921,147,21781,573,351981,9263,23817,6,0,0.058,0.102,0.111,0.11,0.072,0.063,0,0.062,0.134,0.117,0.084,0.042,0.04,0,0.119,0.236,0.228,0.195,0.114,0.103,0.516,0.48,0,0,0,0,0,0,0,0.001,0.071,0,0.001,0.903,0.022,0
120461304659141,O2 CZ,40,15,0.375,26,255630,6391,4449480,111237,292501,21.6,0,0.181,0.125,0.069,0.044,0.003,0.001,0,0.299,0.166,0.064,0.034,0.003,0.002,0,0.48,0.291,0.132,0.079,0.007,0.002,0.423,0.567,0.212,0.152,0.056,0.053,0.022,0.066,0.036,0.044,0.043,0.04,0.101,0.046,0.087,0.041
122554031114843,ODS Praha 11,14,14,1,130,38393,2742,308993,22071,79287,6.4,0,0.079,0.137,0.147,0.087,0.048,0.053,0,0.076,0.129,0.11,0.07,0.032,0.025,0,0.155,0.266,0.257,0.157,0.08,0.078,0.551,0.442,0.986,0.009,0,0,0,0,0,0,0,0,0.001,0,0,0
123761161006567,Radek Vondra - Sousedé pro Prahu 14,32,31,0.969,108,36184,1131,416984,13031,32501,13,0,0.044,0.104,0.124,0.114,0.055,0.04,0,0.067,0.151,0.139,0.099,0.032,0.025,0,0.111,0.255,0.263,0.213,0.087,0.066,0.481,0.513,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0
123858471641,iROZHLAS.cz,155,154,0.994,35,176122,1136,3671922,23690,959356,15.5,0,0.032,0.074,0.067,0.069,0.039,0.056,0,0.054,0.185,0.173,0.148,0.051,0.044,0,0.086,0.259,0.24,0.217,0.09,0.1,0.336,0.655,0.272,0.094,0.047,0.049,0.021,0.063,0.036,0.043,0.038,0.034,0.126,0.049,0.085,0.042
123973774287850,Sdružení Mostečané Mostu,26,23,0.885,84,48237,1855,406987,15653,10001,3.5,0,0.054,0.11,0.115,0.107,0.085,0.071,0,0.05,0.13,0.11,0.082,0.046,0.036,0,0.104,0.24,0.225,0.19,0.131,0.107,0.542,0.455,0,0,0,0,0,1,0,0,0,0,0,0,0,0
124152241443,Čmelák - Společnost Přátel Přírody,129,33,0.256,29,27786,215,684436,5306,467187,11.4,0,0.085,0.127,0.12,0.116,0.103,0.078,0,0.054,0.09,0.085,0.067,0.04,0.029,0,0.138,0.217,0.205,0.183,0.143,0.108,0.629,0.365,0.151,0.107,0.063,0.054,0.024,0.073,0.088,0.057,0.049,0.05,0.105,0.052,0.081,0.045
