id,ad_creation_time,ad_creative_bodies,ad_creative_link_captions,ad_creative_link_descriptions,ad_creative_link_titles,ad_delivery_start_time,ad_snapshot_url,bylines,currency,languages,page_id,page_name,publisher_platforms,estimated_audience_size_lower,estimated_audience_size_upper,impressions_lower,impressions_upper,spend_lower,spend_upper,ad_delivery_stop_time,female_13-17,female_18-24,female_25-34,female_35-44,female_45-54,female_55-64,female_65+,male_13-17,male_18-24,male_25-34,male_35-44,male_45-54,male_55-64,male_65+,unknown_13-17,unknown_18-24,unknown_25-34,unknown_35-44,unknown_45-54,unknown_55-64,unknown_65+,Central Bohemian Region,Hradec Králové Region,Karlovy Vary Region,Liberec Region,Moravian-Silesian Region,Olomouc Region,Pardubice Region,Plzeň Region,Prague,South Bohemian Region,South Moravian Region,Ústí nad Labem Region,Vysočina Region,Zlín Region
1256070012013597,2022-07-25,Pomoc chudobou ohroženým společenským skupinám musí být samozřejmostí. Více ve videu.,"","","",2022-07-25,https://www.facebook.com/ads/archive/render_ad/?id=1256070012013597&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,15000,19999,700,799,2022-08-18,,0.004,0.016,0.045,0.099,0.116,0.136,,0.014,0.08,0.133,0.143,0.107,0.106,,,0,0.001,0.001,0,0,0.097,0.051,0.04,0.053,0.124,0.055,0.045,0.052,0.117,0.056,0.092,0.142,0.036,0.04
369407451941085,2022-07-20,"Na pražském Náměstí Míru dnes bylo skutečně velmi horko. O to víc si vážím všech, kteří neváhali a přišli svými podpisy podpořit možnost mé prezidentské kandidatury. Děkuji vám!","","","",2022-07-20,https://www.facebook.com/ads/archive/render_ad/?id=369407451941085&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,50000,59999,1500,1999,2022-08-01,,0.028,0.057,0.061,0.065,0.037,0.027,,0.082,0.241,0.197,0.125,0.047,0.029,,0,0.001,0.002,0.001,0,0,0.11,0.061,0.031,0.047,0.099,0.061,0.057,0.059,0.105,0.065,0.108,0.095,0.049,0.052
580119050166366,2022-07-20,"Na pražském Náměstí Míru dnes bylo skutečně velmi horko. O to víc si vážím všech, kteří neváhali a přišli svými podpisy podpořit možnost mé prezidentské kandidatury. Děkuji vám!","","","",2022-07-20,https://www.facebook.com/ads/archive/render_ad/?id=580119050166366&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,60000,69999,1500,1999,2022-08-01,,0.022,0.039,0.024,0.022,0.012,0.008,,0.158,0.358,0.205,0.1,0.03,0.02,,0,0.001,0.001,0,0,0,0.123,0.064,0.028,0.046,0.1,0.065,0.058,0.059,0.064,0.067,0.109,0.092,0.067,0.057
708479343784699,2022-07-20,"Jsem třicet let lékař. Neodolal jsem možnosti půjčit si na některé cesty za vámi historickou sanitku, která sedí k trochu nostalgické atmosféře léta, kdy každý vzpomínáme na prázdiny strávené u babiček. Technologie se změnily,ale zůstávají lidé, jejich schopnost si pomáhat a podporovat se. Kampaň jsem zahájil na Praze 2, kde jsem strávil většinu svého osobního i pracovního života. Těším se na setkání s vámi. Nezáleží na autě, ale na tom, kdo ho řídí.","","","",2022-07-21,https://www.facebook.com/ads/archive/render_ad/?id=708479343784699&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,1000001,,9000,9999,100,199,2022-08-18,,0.024,0.027,0.048,0.061,0.048,0.031,,0.068,0.168,0.24,0.183,0.062,0.038,,0,0.001,0.001,0,0,0,0.138,0.072,0.04,0.052,0.076,0.077,0.074,0.051,,0.071,0.091,0.131,0.062,0.065
767434951260449,2022-07-20,"Jsem třicet let lékař. Neodolal jsem možnosti půjčit si na některé cesty za vámi historickou sanitku, která sedí k trochu nostalgické atmosféře léta, kdy každý vzpomínáme na prázdiny strávené u babiček. Technologie se změnily,ale zůstávají lidé, jejich schopnost si pomáhat a podporovat se. Kampaň jsem zahájil na Praze 2, kde jsem strávil většinu svého osobního i pracovního života. Těším se na setkání s vámi. Nezáleží na autě, ale na tom, kdo ho řídí.","","","",2022-07-21,https://www.facebook.com/ads/archive/render_ad/?id=767434951260449&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,15000,19999,300,399,2022-08-18,,0.022,0.047,0.054,0.045,0.02,0.015,,0.078,0.297,0.242,0.126,0.033,0.017,,0,0.001,0.001,0.001,0,,0.13,0.069,0.032,0.052,0.085,0.066,0.058,0.062,0.05,0.065,0.104,0.11,0.064,0.054
843212176657031,2022-07-20,"Jsem třicet let lékař. Neodolal jsem možnosti půjčit si na některé cesty za vámi historickou sanitku, která sedí k trochu nostalgické atmosféře léta, kdy každý vzpomínáme na prázdiny strávené u babiček. Technologie se změnily,ale zůstávají lidé, jejich schopnost si pomáhat a podporovat se. Kampaň jsem zahájil na Praze 2, kde jsem strávil většinu svého osobního i pracovního života. Těším se na setkání s vámi. Nezáleží na autě, ale na tom, kdo ho řídí.","","","",2022-07-21,https://www.facebook.com/ads/archive/render_ad/?id=843212176657031&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,10000,14999,300,399,2022-08-18,,0.037,0.094,0.049,0.027,0.011,0.008,,0.078,0.403,0.175,0.075,0.024,0.016,,0,0.001,0.001,0,,0,0.118,0.06,0.03,0.048,0.087,0.06,0.055,0.062,0.088,0.065,0.111,0.107,0.055,0.054
548029893724606,2022-07-20,"Na pražském Náměstí Míru dnes bylo skutečně velmi horko. O to víc si vážím všech, kteří neváhali a přišli svými podpisy podpořit možnost mé prezidentské kandidatury. Děkuji vám!","","","",2022-07-20,https://www.facebook.com/ads/archive/render_ad/?id=548029893724606&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,1000001,,80000,89999,1500,1999,2022-08-01,,0.015,0.015,0.014,0.025,0.027,0.018,,0.12,0.256,0.214,0.173,0.075,0.045,,0,0.001,0.001,0,0,0,0.126,0.07,0.038,0.046,0.094,0.076,0.064,0.052,,0.078,0.098,0.118,0.073,0.07
710321433370860,2022-07-20,"Na pražském Náměstí Míru dnes bylo skutečně velmi horko. O to víc si vážím všech, kteří neváhali a přišli svými podpisy podpořit možnost mé prezidentské kandidatury. Děkuji vám!","","","",2022-07-20,https://www.facebook.com/ads/archive/render_ad/?id=710321433370860&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,60000,69999,1500,1999,2022-08-01,,0.027,0.04,0.024,0.024,0.021,0.016,,0.127,0.315,0.189,0.126,0.053,0.035,,0,0.001,0.001,0.001,0,0,,0.061,,0.061,0.182,0.083,0.077,0.134,,0.076,0.245,0.08,,
1747896628878174,2022-07-20,"Na pražském Náměstí Míru dnes bylo skutečně velmi horko. O to víc si vážím všech, kteří neváhali a přišli svými podpisy podpořit možnost mé prezidentské kandidatury. Děkuji vám!","","","",2022-07-20,https://www.facebook.com/ads/archive/render_ad/?id=1747896628878174&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,60000,69999,1500,1999,2022-08-01,,0.024,0.054,0.019,0.012,0.005,0.004,,0.128,0.473,0.172,0.069,0.02,0.017,,0,0.001,0.001,0,0,0,0.116,0.054,0.031,0.04,0.098,0.058,0.052,0.058,0.108,0.068,0.113,0.091,0.058,0.054
2952274871584386,2022-07-20,"Jsem třicet let lékař. Neodolal jsem možnosti půjčit si na některé cesty za vámi historickou sanitku, která sedí k trochu nostalgické atmosféře léta, kdy každý vzpomínáme na prázdiny strávené u babiček. Technologie se změnily,ale zůstávají lidé, jejich schopnost si pomáhat a podporovat se. Kampaň jsem zahájil na Praze 2, kde jsem strávil většinu svého osobního i pracovního života. Těším se na setkání s vámi. Nezáleží na autě, ale na tom, kdo ho řídí.","","","",2022-07-21,https://www.facebook.com/ads/archive/render_ad/?id=2952274871584386&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,10000,14999,200,299,2022-08-18,,0.022,0.084,0.104,0.135,0.088,0.057,,0.031,0.153,0.142,0.103,0.048,0.03,,0,0,0.001,0,,0,0.122,0.07,0.036,0.053,0.096,0.062,0.06,0.056,0.077,0.057,0.097,0.114,0.049,0.05
2971336929830543,2022-07-20,"Jsem třicet let lékař. Neodolal jsem možnosti půjčit si na některé cesty za vámi historickou sanitku, která sedí k trochu nostalgické atmosféře léta, kdy každý vzpomínáme na prázdiny strávené u babiček. Technologie se změnily,ale zůstávají lidé, jejich schopnost si pomáhat a podporovat se. Kampaň jsem zahájil na Praze 2, kde jsem strávil většinu svého osobního i pracovního života. Těším se na setkání s vámi. Nezáleží na autě, ale na tom, kdo ho řídí.","","","",2022-07-21,https://www.facebook.com/ads/archive/render_ad/?id=2971336929830543&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,15000,19999,300,399,2022-08-18,,0.045,0.061,0.056,0.057,0.041,0.028,,0.071,0.234,0.201,0.124,0.048,0.031,,0,0.001,0.001,0,0,0,,0.07,,0.068,0.164,0.08,0.084,0.139,,0.073,0.226,0.097,,
3171104579819026,2022-07-20,"Na pražském Náměstí Míru dnes bylo skutečně velmi horko. O to víc si vážím všech, kteří neváhali a přišli svými podpisy podpořit možnost mé prezidentské kandidatury. Děkuji vám!","","","",2022-07-20,https://www.facebook.com/ads/archive/render_ad/?id=3171104579819026&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,1000001,,50000,59999,1500,1999,2022-08-01,,0.002,0.005,0.019,0.055,0.115,0.148,,0.008,0.031,0.136,0.2,0.152,0.124,,0,0.001,0.001,0.001,0.001,0.001,0.146,0.068,0.043,0.05,0.101,0.064,0.054,0.053,,0.068,0.101,0.123,0.065,0.064
456988515909355,2022-07-20,"Jsem třicet let lékař. Neodolal jsem možnosti půjčit si na některé cesty za vámi historickou sanitku, která sedí k trochu nostalgické atmosféře léta, kdy každý vzpomínáme na prázdiny strávené u babiček. Technologie se změnily,ale zůstávají lidé, jejich schopnost si pomáhat a podporovat se. Kampaň jsem zahájil na Praze 2, kde jsem strávil většinu svého osobního i pracovního života. Těším se na setkání s vámi. Nezáleží na autě, ale na tom, kdo ho řídí.","","","",2022-07-23,https://www.facebook.com/ads/archive/render_ad/?id=456988515909355&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,0,999,0,99,2022-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470671098231286,2022-07-20,"Na pražském Náměstí Míru dnes bylo skutečně velmi horko. O to víc si vážím všech, kteří neváhali a přišli svými podpisy podpořit možnost mé prezidentské kandidatury. Děkuji vám!","","","",2022-07-20,https://www.facebook.com/ads/archive/render_ad/?id=470671098231286&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,45000,49999,1500,1999,2022-08-01,,0.001,0.011,0.06,0.093,0.109,0.114,,0.009,0.065,0.196,0.176,0.099,0.066,,0,0,0.001,0,0,0,0.122,0.064,0.037,0.045,0.093,0.066,0.052,0.052,0.087,0.066,0.098,0.106,0.055,0.057
